tweet_id,text,source,user_id,sentiment,topic,rumor_label
1,Just discovered a new species of butterfly!,Twitter,311160,Neutral,UFO,True
2,COVID-19 update: Cases are on the rise again.,Online Forum,434641,Neutral,Animals,False
3,Just saw a UFO in my backyard! 👽,Online Forum,970264,Negative,Cybersecurity,False
4,COVID-19 update: Cases are on the rise again.,Gossip Magazine,169653,Negative,Tech,False
5,New tech gadget just released! #excited,Tech Magazine,845759,Positive,Animals,True
6,New tech gadget just released! #excited,Social Media,511483,Positive,Discovery,True
7,Animals are so fascinating!,Online Forum,779402,Negative,Community,True
8,Feeling great today! #positivevibes,Tech Magazine,241799,Negative,Cybersecurity,False
9,Feeling great today! #positivevibes,News,765236,Negative,Tech,False
10,Celebrity gossip: What's happening in Hollywood?,Social Media,543794,Neutral,Health,True
11,Protect your data with the latest cybersecurity measures.,Health Magazine,799135,Neutral,UFO,False
12,New tech gadget just released! #excited,Tech Magazine,517142,Positive,Discovery,True
13,Animals are so fascinating!,Science Journal,830949,Neutral,Discovery,False
14,Just discovered a new species of butterfly!,News,986203,Neutral,COVID-19,True
15,COVID-19 update: Cases are on the rise again.,Online Forum,873023,Neutral,COVID-19,False
16,Protect your data with the latest cybersecurity measures.,Health Magazine,655579,Negative,Weather,False
17,Animals are so fascinating!,News,219831,Neutral,Health,False
18,Celebrity gossip: What's happening in Hollywood?,Twitter,754776,Positive,Tech,True
19,Conspiracy theories are everywhere these days...,Social Media,420191,Negative,Tech,False
20,Feeling great today! #positivevibes,Health Magazine,579113,Negative,Weather,False
21,Community event happening this weekend! Join us!,Tech Magazine,740038,Negative,Discovery,False
22,COVID-19 update: Cases are on the rise again.,News,417542,Neutral,Celebrity,True
23,Just discovered a new species of butterfly!,Online Forum,363428,Neutral,UFO,True
24,COVID-19 update: Cases are on the rise again.,Health Magazine,876200,Neutral,Community,False
25,New tech gadget just released! #excited,Social Media,510114,Neutral,Animals,True
26,Animals are so fascinating!,Gossip Magazine,961688,Neutral,Health,True
27,Conspiracy theories are everywhere these days...,News,419400,Neutral,Community,False
28,Feeling great today! #positivevibes,News,356063,Neutral,Animals,False
29,Just discovered a new species of butterfly!,Government,849843,Positive,Weather,True
30,Just discovered a new species of butterfly!,Tech Magazine,534769,Positive,Health,True
31,Conspiracy theories are everywhere these days...,Science Journal,991391,Negative,Weather,True
32,Community event happening this weekend! Join us!,Online Forum,332506,Positive,Animals,False
33,Conspiracy theories are everywhere these days...,Tech Magazine,283113,Negative,Weather,True
34,Weather forecast: Expect rain showers tomorrow.,Gossip Magazine,252298,Neutral,Conspiracy,False
35,COVID-19 update: Cases are on the rise again.,Social Media,141931,Negative,COVID-19,False
36,Animals are so fascinating!,Online Forum,719723,Positive,Discovery,True
37,Just saw a UFO in my backyard! 👽,Science Journal,547197,Negative,COVID-19,False
38,Just saw a UFO in my backyard! 👽,Health Magazine,599618,Neutral,Health,True
39,Animals are so fascinating!,Government,193597,Positive,Animals,False
40,Conspiracy theories are everywhere these days...,News,933805,Neutral,Tech,True
41,COVID-19 update: Cases are on the rise again.,Tech Magazine,397395,Negative,Health,True
42,Community event happening this weekend! Join us!,Online Forum,414449,Negative,Discovery,False
43,COVID-19 update: Cases are on the rise again.,Gossip Magazine,722188,Neutral,Health,True
44,New tech gadget just released! #excited,Online Forum,821218,Positive,UFO,False
45,New tech gadget just released! #excited,Gossip Magazine,880036,Neutral,Health,True
46,Conspiracy theories are everywhere these days...,Science Journal,500780,Negative,Weather,True
47,Animals are so fascinating!,Health Magazine,390464,Positive,Animals,True
48,Celebrity gossip: What's happening in Hollywood?,Gossip Magazine,411965,Negative,Animals,False
49,Just saw a UFO in my backyard! 👽,Health Magazine,786235,Neutral,Tech,True
50,Community event happening this weekend! Join us!,Twitter,850214,Negative,Community,False
51,Celebrity gossip: What's happening in Hollywood?,Health Magazine,872692,Positive,Discovery,False
52,Animals are so fascinating!,Social Media,169676,Positive,Celebrity,True
53,New tech gadget just released! #excited,Twitter,928325,Positive,Conspiracy,True
54,Conspiracy theories are everywhere these days...,Twitter,236306,Neutral,Celebrity,False
55,New tech gadget just released! #excited,Social Media,630823,Neutral,Tech,False
56,Just discovered a new species of butterfly!,News,925488,Neutral,Health,False
57,Celebrity gossip: What's happening in Hollywood?,News,835872,Neutral,Discovery,False
58,Animals are so fascinating!,Gossip Magazine,390132,Positive,Cybersecurity,True
59,Just saw a UFO in my backyard! 👽,Government,985661,Negative,Conspiracy,True
60,Animals are so fascinating!,Tech Magazine,791927,Negative,Discovery,False
61,Just saw a UFO in my backyard! 👽,Health Magazine,607393,Negative,Health,True
62,Animals are so fascinating!,Science Journal,256290,Positive,COVID-19,False
63,New tech gadget just released! #excited,Gossip Magazine,538245,Positive,Health,False
64,Just discovered a new species of butterfly!,Gossip Magazine,981752,Neutral,UFO,True
65,New tech gadget just released! #excited,Twitter,585576,Negative,Celebrity,False
66,Protect your data with the latest cybersecurity measures.,Health Magazine,668978,Positive,Conspiracy,True
67,Just saw a UFO in my backyard! 👽,Twitter,523794,Neutral,Conspiracy,False
68,Conspiracy theories are everywhere these days...,Health Magazine,362529,Neutral,Cybersecurity,False
69,Conspiracy theories are everywhere these days...,Health Magazine,872339,Neutral,Health,True
70,COVID-19 update: Cases are on the rise again.,Science Journal,255388,Positive,Discovery,False
71,Feeling great today! #positivevibes,Health Magazine,524308,Positive,Discovery,False
72,Feeling great today! #positivevibes,Science Journal,491174,Neutral,Community,False
73,Protect your data with the latest cybersecurity measures.,Twitter,846893,Negative,Celebrity,True
74,COVID-19 update: Cases are on the rise again.,Government,528196,Positive,COVID-19,False
75,Just discovered a new species of butterfly!,Gossip Magazine,769757,Positive,Celebrity,False
76,Feeling great today! #positivevibes,Science Journal,946290,Neutral,Tech,False
77,COVID-19 update: Cases are on the rise again.,Gossip Magazine,716369,Negative,Animals,True
78,COVID-19 update: Cases are on the rise again.,Health Magazine,311986,Positive,UFO,False
79,Community event happening this weekend! Join us!,Science Journal,619494,Neutral,Celebrity,True
80,Conspiracy theories are everywhere these days...,Health Magazine,221338,Positive,Weather,False
81,Protect your data with the latest cybersecurity measures.,Social Media,518580,Negative,Tech,True
82,COVID-19 update: Cases are on the rise again.,Government,625817,Negative,Celebrity,True
83,Weather forecast: Expect rain showers tomorrow.,Science Journal,261885,Positive,Discovery,False
84,Weather forecast: Expect rain showers tomorrow.,Science Journal,672461,Negative,UFO,False
85,Animals are so fascinating!,Online Forum,984947,Neutral,Weather,True
86,Celebrity gossip: What's happening in Hollywood?,Social Media,814666,Negative,Cybersecurity,False
87,Celebrity gossip: What's happening in Hollywood?,News,609351,Neutral,Cybersecurity,False
88,Just saw a UFO in my backyard! 👽,Social Media,126957,Negative,Health,False
89,Protect your data with the latest cybersecurity measures.,Twitter,820862,Positive,Animals,True
90,Community event happening this weekend! Join us!,Health Magazine,394985,Neutral,Health,False
91,Just saw a UFO in my backyard! 👽,Twitter,868354,Neutral,Discovery,False
92,Protect your data with the latest cybersecurity measures.,Health Magazine,436812,Neutral,Weather,True
93,Weather forecast: Expect rain showers tomorrow.,News,763941,Negative,Conspiracy,False
94,Celebrity gossip: What's happening in Hollywood?,Online Forum,953592,Positive,Tech,False
95,Animals are so fascinating!,Health Magazine,216062,Positive,COVID-19,False
96,Weather forecast: Expect rain showers tomorrow.,Gossip Magazine,857025,Neutral,COVID-19,False
97,COVID-19 update: Cases are on the rise again.,Twitter,365947,Positive,UFO,True
98,Celebrity gossip: What's happening in Hollywood?,Twitter,963299,Positive,Community,False
99,COVID-19 update: Cases are on the rise again.,Science Journal,979301,Positive,Animals,True
100,New tech gadget just released! #excited,Gossip Magazine,402672,Positive,Health,True
101,Just saw a UFO in my backyard! 👽,Tech Magazine,267744,Negative,Discovery,True
102,Feeling great today! #positivevibes,Tech Magazine,586921,Negative,Tech,True
103,Community event happening this weekend! Join us!,Tech Magazine,758231,Negative,Animals,False
104,New tech gadget just released! #excited,Online Forum,942785,Negative,Animals,True
105,Community event happening this weekend! Join us!,Gossip Magazine,776467,Positive,Health,False
106,Weather forecast: Expect rain showers tomorrow.,Health Magazine,903229,Positive,Discovery,True
107,New tech gadget just released! #excited,Online Forum,803926,Negative,Animals,True
